year,ward_id,ward_name,source_rows,source_districts,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,literacy_rate,work_participation_rate,non_worker_rate,sc_share,st_share,female_share,child_share,main_worker_share,marginal_worker_share,agri_main_worker_share,hh_industry_main_worker_share,other_main_worker_share
2011,1,GHMC (M Corp.) WARD NO.-0001,1,537,10899,44149,22411,21738,4553,2370,2183,3672,1855,1817,871,449,422,34890,18444,16446,9259,3967,5292,17074,12450,4624,13965,10609,3356,220,113,107,277,171,106,464,293,171,13004,10032,2972,3109,1841,1268,138,70,68,48,34,14,90,51,39,2833,1686,1147,2831,1646,1185,135,68,67,39,26,13,75,44,31,2582,1508,1074,278,195,83,3,2,1,9,8,1,15,7,8,251,178,73,27075,9961,17114,0.8811496110718254,0.3867358264060341,0.6132641735939659,0.08317289179822873,0.019728646175451312,0.49237808330879523,0.1031280436702983,0.316315205327414,0.07042062107862013,0.019835302542069458,0.03322592194772646,0.9311851056211958
2011,2,GHMC (M Corp.) WARD NO.-0002,2,537,14510,59164,30605,28559,7279,3786,3493,6078,3111,2967,2178,1156,1022,42478,23345,19133,16686,7260,9426,24260,17247,7013,20107,15173,4934,202,133,69,466,325,141,1226,957,269,18213,13758,4455,4153,2074,2079,121,63,58,182,87,95,361,180,181,3489,1744,1745,3792,1846,1946,115,59,56,148,67,81,276,117,159,3253,1603,1650,361,228,133,6,4,2,34,20,14,85,63,22,236,141,95,34904,13358,21546,0.8186951912884264,0.4100466499898587,0.5899533500101413,0.10273139071056724,0.03681292677979853,0.4827090798458522,0.12303089716719627,0.33985193698870936,0.07019471300114935,0.02317600835529915,0.060973790222310635,0.9058039488735267
2011,3,GHMC (M Corp.) (Part) WARD NO.-0003,1,537,14042,57747,29417,28330,6589,3425,3164,9686,4897,4789,1743,889,854,42132,22740,19392,15615,6677,8938,22517,16533,5984,18112,14068,4044,143,71,72,189,121,68,525,381,144,17255,13495,3760,4405,2465,1940,55,24,31,85,50,35,149,58,91,4116,2333,1783,3860,2128,1732,55,24,31,76,42,34,135,50,85,3594,2012,1582,545,337,208,0,0,0,9,8,1,14,8,6,522,321,201,35230,12884,22346,0.8235662066538958,0.38992501774983984,0.6100749822501602,0.16773165705577778,0.030183386149929867,0.49058825566696107,0.11410116542850711,0.31364399882244964,0.07628101892739017,0.010435070671378091,0.0289863074204947,0.9526833038869258
2011,4,GHMC (M Corp.) (Part) WARD NO.-0004,1,537,16611,67130,34145,32985,7682,3979,3703,6794,3473,3321,1561,763,798,50324,26868,23456,16806,7277,9529,26278,19055,7223,21575,16751,4824,378,242,136,426,290,136,636,482,154,20135,15737,4398,4703,2304,2399,194,89,105,303,168,135,351,121,230,3855,1926,1929,4427,2182,2245,192,87,105,296,165,131,306,96,210,3633,1834,1799,276,122,154,2,2,0,7,3,4,45,25,20,222,92,130,40852,15090,25762,0.8465213295653344,0.39144942648592285,0.6085505735140772,0.1012066140324743,0.023253388946819605,0.4913600476687025,0.11443467898108148,0.3213913302547296,0.0700580962311932,0.019745075318655853,0.02947856315179606,0.9332560834298957
2011,5,GHMC (M Corp.) (Part) WARD NO.-0005,1,537,14013,57688,29544,28144,6633,3451,3182,6498,3364,3134,1435,720,715,41412,22794,18618,16276,6750,9526,21767,15915,5852,18512,14194,4318,224,128,96,250,139,111,772,530,242,17266,13397,3869,3255,1721,1534,109,47,62,75,39,36,207,89,118,2864,1546,1318,2933,1536,1397,104,44,60,65,35,30,179,71,108,2585,1386,1199,322,185,137,5,3,2,10,4,6,28,18,10,279,160,119,35921,13629,22292,0.8111252570757027,0.3773228401053945,0.6226771598946055,0.11264041048398281,0.024875190680904175,0.4878657606434614,0.11498058521702954,0.32089862709748995,0.05642421300790459,0.013504753673292999,0.04170267934312878,0.9326923076923077
2011,6,GHMC (M Corp.) (Part) WARD NO.-0006,1,537,12750,52167,26057,26110,5453,2785,2668,3193,1591,1602,1277,697,580,39473,20755,18718,12694,5302,7392,19197,14301,4896,17006,13089,3917,279,199,80,137,85,52,217,128,89,16373,12677,3696,2191,1212,979,61,35,26,34,18,16,101,58,43,1995,1101,894,2118,1178,940,61,35,26,33,17,16,98,57,41,1926,1069,857,73,34,39,0,0,0,1,1,0,3,1,2,69,32,37,32970,11756,21214,0.84499293573661,0.36799125884179656,0.6320087411582035,0.06120727663082025,0.024479076811010792,0.5005079839745433,0.10452968351639925,0.32599152721068875,0.04199973163110779,0.008055980242267434,0.01276020228154769,0.962777843114195
2011,7,GHMC (M Corp.) (Part) WARD NO.-0007,1,537,14425,59061,30161,28900,6902,3609,3293,4320,2166,2154,1205,627,578,42229,22909,19320,16832,7252,9580,22846,16906,5940,19806,15561,4245,120,79,41,416,300,116,694,493,201,18576,14689,3887,3040,1345,1695,48,26,22,336,148,188,201,39,162,2455,1132,1323,2831,1263,1568,38,17,21,325,144,181,122,34,88,2346,1068,1278,209,82,127,10,9,1,11,4,7,79,5,74,109,64,45,36215,13255,22960,0.8096205832167028,0.3868204060208936,0.6131795939791064,0.07314471478640727,0.020402634564264065,0.48932459660351163,0.11686222718883865,0.3353481993193478,0.05147220670154586,0.021003736241542968,0.0350398869029587,0.9378976067858225
2011,8,GHMC (M Corp.) (Part) WARD NO.-0008,1,537,18366,75227,38377,36850,7226,3813,3413,5266,2637,2629,783,410,373,59411,31605,27806,15816,6772,9044,29125,21148,7977,24069,18303,5766,261,165,96,503,394,109,729,495,234,22576,17249,5327,5056,2845,2211,400,208,192,158,102,56,392,207,185,4106,2328,1778,4528,2512,2016,395,206,189,138,88,50,342,177,165,3653,2041,1612,528,333,195,5,2,3,20,14,6,50,30,20,453,287,166,46102,17229,28873,0.8736783282598786,0.3871615244526566,0.6128384755473434,0.07000146224095072,0.010408496949233653,0.48985071849203077,0.09605593736291491,0.31995161311763065,0.06720991133502599,0.020898250862104784,0.03028792222360713,0.9379700029083052
2011,9,GHMC (M Corp.) (Part) WARD NO.-0009,2,537,16118,68161,34810,33351,7862,4077,3785,5049,2560,2489,1693,897,796,49473,26769,22704,18688,8041,10647,24852,18671,6181,21605,17012,4593,364,234,130,353,171,182,1105,647,458,19783,15960,3823,3247,1659,1588,203,95,108,96,42,54,269,118,151,2679,1404,1275,2952,1464,1488,201,95,106,84,37,47,249,108,141,2418,1224,1194,295,195,100,2,0,2,12,5,7,20,10,10,261,180,81,43309,16139,27170,0.8204613675185326,0.36460732677044055,0.6353926732295594,0.07407461744986135,0.024838250612520357,0.48929739880576867,0.1153445518698376,0.3169701148750752,0.047637211895365385,0.01633881046054154,0.05114556815551956,0.9156676695209442
2011,10,GHMC (M Corp.) WARD NO.-0010,1,537,16304,68115,35052,33063,7441,3933,3508,5772,2914,2858,3056,1661,1395,50987,27599,23388,17128,7453,9675,24414,18894,5520,20944,16935,4009,143,100,43,560,329,231,486,327,159,19755,16179,3576,3470,1959,1511,88,39,49,175,92,83,110,44,66,3097,1784,1313,3318,1878,1440,88,39,49,153,80,73,103,43,60,2974,1716,1258,152,81,71,0,0,0,22,12,10,7,1,6,123,68,55,43701,16158,27543,0.8403434749645647,0.3584232547896939,0.641576745210306,0.08473904426337811,0.04486530132863539,0.4853996916978639,0.1092417235557513,0.3074799970637892,0.05094325772590472,0.026737967914438502,0.023204736440030557,0.9432295645530939
2011,11,GHMC (M Corp.) WARD NO.-0011,1,537,12332,50462,25680,24782,4775,2479,2296,2385,1230,1155,578,289,289,41928,22008,19920,8534,3672,4862,17879,13584,4295,16122,12681,3441,176,152,24,108,76,32,186,116,70,15652,12337,3315,1757,903,854,43,31,12,23,17,6,48,19,29,1643,836,807,1655,841,814,43,31,12,21,15,6,37,11,26,1554,784,770,102,62,40,0,0,0,2,2,0,11,8,3,89,52,37,32583,12096,20487,0.9177227657758225,0.3543062106139273,0.6456937893860727,0.04726328722603147,0.011454163528992112,0.4911022155285165,0.0946256589116563,0.3194879315128215,0.034818279101105784,0.006698920729438035,0.011537030145143283,0.9708472894181863
2011,12,GHMC (M Corp.) WARD NO.-0012,1,537,19401,81484,41850,39634,9741,5112,4629,6599,3324,3275,4094,2199,1895,58101,31852,26249,23383,9998,13385,28652,21880,6772,24472,19661,4811,347,301,46,480,339,141,349,233,116,23296,18788,4508,4180,2219,1961,91,58,33,217,74,143,157,78,79,3715,2009,1706,3424,2027,1397,80,53,27,200,66,134,120,70,50,3024,1838,1186,756,192,564,11,5,6,17,8,9,37,8,29,691,171,520,52832,19970,32862,0.8098490445060842,0.35162731333758773,0.6483726866624122,0.08098522409307349,0.050242992489323055,0.4864022384762653,0.11954494133817682,0.3003288989249423,0.051298414412645425,0.019614253023864006,0.014261196469434455,0.9519450800915332
