ward_id,ward_name_readme,udise2021_22_school_count,udise2021_22_student_count,udise2021_22_teacher_count,udise2021_22_classroom_count,udise2021_22_electricity_share,udise2021_22_library_share,udise2021_22_playground_share,udise2021_22_medical_checkup_share,udise2021_22_ramp_share,udise2021_22_internet_share,udise2021_22_computer_desktop_share,udise2021_22_boundary_wall_share,udise2021_22_government_school_share,udise2021_22_student_teacher_ratio,udise2021_22_data_available,udise2023_24_school_count,udise2023_24_student_count,udise2023_24_teacher_count,udise2023_24_classroom_count,udise2023_24_electricity_share,udise2023_24_drinking_water_share,udise2023_24_library_share,udise2023_24_playground_share,udise2023_24_medical_checkup_share,udise2023_24_ramp_share,udise2023_24_internet_share,udise2023_24_computer_desktop_share,udise2023_24_ict_lab_share,udise2023_24_boundary_wall_share,udise2023_24_government_school_share,udise2023_24_student_teacher_ratio,udise2023_24_data_available,udise2021_22_school_count_missing,udise2021_22_student_count_missing,udise2021_22_teacher_count_missing,udise2021_22_classroom_count_missing,udise2021_22_electricity_share_missing,udise2021_22_library_share_missing,udise2021_22_playground_share_missing,udise2021_22_medical_checkup_share_missing,udise2021_22_ramp_share_missing,udise2021_22_internet_share_missing,udise2021_22_computer_desktop_share_missing,udise2021_22_boundary_wall_share_missing,udise2021_22_government_school_share_missing,udise2021_22_student_teacher_ratio_missing,udise2023_24_school_count_missing,udise2023_24_student_count_missing,udise2023_24_teacher_count_missing,udise2023_24_classroom_count_missing,udise2023_24_electricity_share_missing,udise2023_24_drinking_water_share_missing,udise2023_24_library_share_missing,udise2023_24_playground_share_missing,udise2023_24_medical_checkup_share_missing,udise2023_24_ramp_share_missing,udise2023_24_internet_share_missing,udise2023_24_computer_desktop_share_missing,udise2023_24_ict_lab_share_missing,udise2023_24_boundary_wall_share_missing,udise2023_24_government_school_share_missing,udise2023_24_student_teacher_ratio_missing,udise_2021_2023_school_count_change,udise_2021_2023_school_count_pct_change,udise_2021_2023_student_count_change,udise_2021_2023_student_count_pct_change,udise_2021_2023_teacher_count_change,udise_2021_2023_teacher_count_pct_change,udise_2021_2023_classroom_count_change,udise_2021_2023_classroom_count_pct_change,udise_2021_2023_student_teacher_ratio_change,udise_2021_2023_student_teacher_ratio_pct_change,udise_2021_2023_internet_share_change,udise_2021_2023_internet_share_pct_change,udise_2021_2023_library_share_change,udise_2021_2023_library_share_pct_change,udise_2021_2023_playground_share_change,udise_2021_2023_playground_share_pct_change,udise_2021_2023_government_school_share_change,udise_2021_2023_government_school_share_pct_change,data_coverage_score,worldpop_status,geometry_status,worldpop_population_2015,worldpop_population_2018,worldpop_abs_growth_2015_2018,worldpop_pct_growth_2015_2018,worldpop_annualized_growth_2015_2018_pct,worldpop_data_status,worldpop_geometry_coverage_n,worldpop_geometry_coverage_total,census2011_population_verified,census2011_TOT_M,census2011_TOT_F,census2011_No_HH,census2011_P_06,census2011_P_SC,census2011_P_ST,census2011_P_LIT,census2011_P_ILL,census2011_TOT_WORK_P,census2011_MAINWORK_P,census2011_MARGWORK_P,census2011_NON_WORK_P,census2011_literacy_rate,census2011_work_participation_rate,census2011_non_worker_rate,census2011_sc_share,census2011_st_share,census2011_female_share,census2011_child_share,census2011_main_worker_share,census2011_marginal_worker_share,census2011_source_district,census2011_source_rows,census2011_sc_st_share,census2011_literacy_risk
1,Kapra,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,0.5,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,82855.84,84781.39,1925.550000000003,2.3239761976946984,0.7687340690428757,observed_raster_aggregation,1,145,44149,22411,21738,10899,4553,3672,871,34890,9259,17074,13965,3109,27075,0.8811496110718254,0.3867358264060341,0.6132641735939659,0.0831728917982287,0.0197286461754513,0.4923780833087952,0.1031280436702983,0.316315205327414,0.0704206210786201,537,1,0.10290153797368,0.11885038892817457
2,Dr A S Rao Nagar,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,0.5,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,57553.41,58902.19,1348.7799999999988,2.3435275164408136,0.7751517117908779,observed_raster_aggregation,1,145,59164,30605,28559,14510,7279,6078,2178,42478,16686,24260,20107,4153,34904,0.8186951912884264,0.4100466499898587,0.5899533500101413,0.1027313907105672,0.0368129267797985,0.4827090798458522,0.1230308971671962,0.3398519369887093,0.0701947130011493,537,2,0.1395443174903657,0.18130480871157362
3,Cherlapally,,,,,,,,,,,,,,,0,1.0,728.0,11.0,9.0,1.0,9.0,2.0,2.0,1.0,1.0,1.0,17.0,9.0,1.0,0.0,66.18181818181819,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.5,observed_raster_aggregation,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_150_FEATURES_VERIFIED,82983.91494603455,84926.88058839738,1942.965642362833,2.341376209626127,0.7744455938924144,missing_geometry,0,145,57747,29417,28330,14042,6589,9686,1743,42132,15615,22517,18112,4405,35230,0.8235662066538958,0.3899250177498398,0.6100749822501602,0.1677316570557777,0.0301833861499298,0.490588255666961,0.1141011654285071,0.3136439988224496,0.0762810189273901,537,1,0.1979150432057075,0.1764337933461042
4,Meerpet H.B Colony,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,0.25,observed_raster_aggregation,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_150_FEATURES_VERIFIED,18284.6550552845,18699.66634452343,415.01128923892975,2.2697244655921804,0.7509218708833476,missing_geometry,0,145,67130,34145,32985,16611,7682,6794,1561,50324,16806,26278,21575,4703,40852,0.8465213295653344,0.3914494264859228,0.6085505735140772,0.1012066140324743,0.0232533889468196,0.4913600476687025,0.1144346789810814,0.3213913302547296,0.0700580962311932,537,1,0.12446000297929391,0.15347867043466557
5,Mallapur,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,0.5,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,58989.11,60398.24,1409.1299999999974,2.388796847418104,0.7900080534253062,observed_raster_aggregation,1,145,57688,29544,28144,14013,6633,6498,1435,41412,16276,21767,18512,3255,35921,0.8111252570757027,0.3773228401053945,0.6226771598946055,0.1126404104839828,0.0248751906809041,0.4878657606434614,0.1149805852170295,0.3208986270974899,0.0564242130079045,537,1,0.1375156011648869,0.1888747429242973
6,Nacharam,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,0.5,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,55069.32,56410.02,1340.699999999997,2.434567922756259,0.8050246045147036,observed_raster_aggregation,1,145,52167,26057,26110,12750,5453,3193,1277,39473,12694,19197,17006,2191,32970,0.84499293573661,0.3679912588417965,0.6320087411582035,0.0612072766308202,0.0244790768110107,0.5005079839745433,0.1045296835163992,0.3259915272106887,0.0419997316311077,537,1,0.0856863534418309,0.15500706426338995
7,Chilka Nagar,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,0.5,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,34916.97,35741.03,824.0599999999977,2.3600558696816982,0.7805764406010995,observed_raster_aggregation,1,145,59061,30161,28900,14425,6902,4320,1205,42229,16832,22846,19806,3040,36215,0.8096205832167028,0.3868204060208936,0.6131795939791064,0.0731447147864072,0.020402634564264,0.4893245966035116,0.1168622271888386,0.3353481993193478,0.0514722067015458,537,1,0.0935473493506712,0.19037941678329717
8,Habsiguda,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,0.5,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,50965.17,52111.7,1146.5299999999988,2.2496344071843555,0.7443242048621457,observed_raster_aggregation,1,145,75227,38377,36850,18366,7226,5266,783,59411,15816,29125,24069,5056,46102,0.8736783282598786,0.3871615244526566,0.6128384755473434,0.0700014622409507,0.0104084969492336,0.4898507184920307,0.0960559373629149,0.3199516131176306,0.0672099113350259,537,1,0.0804099591901843,0.12632167174012143
9,Ramanthapur,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,0.5,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,27659.94,28363.98,704.0400000000009,2.5453417469452244,0.8413487201737846,observed_raster_aggregation,1,145,68161,34810,33351,16118,7862,5049,1693,49473,18688,24852,21605,3247,43309,0.8204613675185326,0.3646073267704405,0.6353926732295594,0.0740746174498613,0.0248382506125203,0.4892973988057686,0.1153445518698376,0.3169701148750752,0.0476372118953653,537,2,0.0989128680623816,0.1795386324814674
10,Uppal,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,0.5,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,63947.62,65465.03,1517.4099999999962,2.372895191408212,0.7847899987643014,observed_raster_aggregation,1,145,68115,35052,33063,16304,7441,5772,3056,50987,17128,24414,20944,3470,43701,0.8403434749645647,0.3584232547896939,0.641576745210306,0.0847390442633781,0.0448653013286353,0.4853996916978639,0.1092417235557513,0.3074799970637892,0.0509432577259047,537,1,0.1296043455920134,0.15965652503543526
